beer/name,beer/beerId,beer/brewerId,beer/ABV,beer/style,review/appearance,review/aroma,review/palate,review/taste,review/overall,review/time,review/profileName,review/text
Barley Island Dirty &quot;Old&quot; Helen Sour Ale,114513,3228,-,Sour Ale/Wild Ale,4/5,7/10,3/5,6/10,13/20,1273795200,fiulijn,"Courtesy of Kim, handbottledCloudy amber color; creamy head. Creamy aroma, cheesy; berries, a bit sour. Weak body, fairly sour and astringent, a bit lemony. The astringency is the only interesting factor here."
Barley Island Dirty &quot;Old&quot; Helen Sour Ale,114513,3228,-,Sour Ale/Wild Ale,4/5,7/10,3/5,6/10,13/20,1272844800,Ungstrup,"Handbottled. A dark amber beer with a white head. The aroma ahs notes of malt, caramel, over ripe fruits, and hops. The flavor is sweet with notes of over ripe fruit, malt, and light notes of wood, leading to a dry finish. Thanks KimJohansen for sharing."
Barley Island Dirty &quot;Old&quot; Helen Sour Ale,114513,3228,-,Sour Ale/Wild Ale,3/5,7/10,3/5,7/10,14/20,1272672000,yespr,"Handbottled, courtesy of KimJohansen. Pours hazy orange with a small white head. Aroma is fruity and slight acidic fruity. Citric and fruity fruity flavoured. Mild mouldy and fruity. Light spiced and fruity into a dry finish."
Barley Island Dirty &quot;Old&quot; Helen Sour Ale,114513,3228,-,Sour Ale/Wild Ale,3/5,6/10,3/5,6/10,15/20,1272067200,Theis,"Handbottle at Paps 23-Apr-2010 - Thanks. Cloudy amber - caramel, fruity, buttery, berries, light sourish, nutty, fatness, light diacetyl notes, light bretty."
Barley Island Dirty &quot;Old&quot; Helen Sour Ale,114513,3228,-,Sour Ale/Wild Ale,3/5,7/10,3/5,8/10,13/20,1272067200,Dedollewaitor,Bottle @ Paps. Thanks. Pours unclear amber with a small creamy head and lacings. Nose is quite vinous with notes of caramel and fruit. Flavor is tart and fruity with brett and a bit of caramel.
Barley Island Dirty &quot;Old&quot; Helen Sour Ale,114513,3228,-,Sour Ale/Wild Ale,3/5,6/10,3/5,7/10,13/20,1272067200,joergen,"Handbottled form tap, at Paps.	Hazy golden coloured with a small white head.	Fruity aroma of spices and caramel with notes of butter.	Fruity flavour of caramel, hops and grass with notes of wallonian barnyard.	Fruity finish."
Barley Island Dirty &quot;Old&quot; Helen Sour Ale,114513,3228,-,Sour Ale/Wild Ale,3/5,6/10,3/5,6/10,13/20,1271980800,KimJohansen,"Hazy orange with a medium beige head. Sour aroma with lacto, brett, sour berries and toasted malt. Sour flavour with brett, toasted malt, sourish berries and breadish notes. Finished sourish and dry."
Barley Island Dirty &quot;Old&quot; Helen Sour Ale,114513,3228,-,Sour Ale/Wild Ale,4/5,7/10,3/5,7/10,13/20,1271980800,madsberg,"Bottled. Amber coloured. Unclear. Dense beige head. Aroma of sourness, fruits, grape. Flaovur of sweet sourness, citrus, fruits, light spice. Medium bodied. Dry sour grapyness in the end. thx Kim for sharing."
Barley Island Dirty &quot;Old&quot; Helen Sour Ale,114513,3228,-,Sour Ale/Wild Ale,3/5,8/10,3/5,7/10,14/20,1271980800,Papsoe,"Handbottle 35,5 cl. Courtesy of KimJohansen. Pours a cloudy amber with a dense and lacing off-white head. Lovely aroma of Brett and wood. Medium body, very dry and fruity with an astringent driness rather than sour - lets call it slightly tart. Again ends very dry with quite some bitterness. 230410"
Barley Island Dirty &quot;Old&quot; Helen Sour Ale,114513,3228,-,Sour Ale/Wild Ale,4/5,8/10,4/5,8/10,17/20,1266019200,MI2CA,"On tap at Noblesville brewery - Aroma is pungent with lots of brett and oak.  Flavor brings forward some toasted malts but quickly falls back to doughy yeast, oak and brett giving it a nice funky sour finish.  Palate is tart and creamy.  A fantastic sour that would draw some attention if it got out of the brewery."
Barley Island Dirty &quot;Old&quot; Helen Sour Ale,114513,3228,-,Sour Ale/Wild Ale,4/5,7/10,3/5,8/10,17/20,1263168000,StFun,"I was surprised by this one. A really nice local sour beer. Pours a great looking brown with a slight red hue. Not much head, but a good amount of lacing. Aroma is nutty, with cherries and a tartness to it. Very earthy. Flavor is nice and sour, lots of red fruits and nuts, with just a hint of yeast. The wood really comes into play here, and works nicely with the other elements. This one is tasty for sure."
Barley Island Dirty &quot;Old&quot; Helen Sour Ale,114513,3228,-,Sour Ale/Wild Ale,3/5,8/10,4/5,8/10,15/20,1260489600,tjthresh,"UPDATED: DEC 12, 2009 Pours murky brown with a small brown head. Good bretty nost with some dusty malt. Brett and some oak take the flavor to a really wonder full place. Medium full body with a dry finish. Really a super unexpected treat."
Barley Island Dirty &quot;Old&quot; Helen Sour Ale,114513,3228,-,Sour Ale/Wild Ale,3/5,8/10,4/5,9/10,15/20,1260489600,awiseman01,"Had this on tap last night at new Barley Island, broad ripple location. Pours medium brown with light tan head that fades. Nose is sweet brown malt and slightly sour brett. Taste is smooth, clean brown style malt with a perfectly balanced sour profile bringing in the brett flavor. I was skeptical of the at first, but it came out quite nicely IMHO. On the lighter side in terms of sour intensity, but the overall taste is very pleasant."
Barley Island Sinister Minister Belgian Black Ale,77833,3228,6.7,Traditional Ale,3/5,8/10,2/5,7/10,14/20,1197417600,BBB63,"Bottle and served in my big old Tripel Karmeliet glass: Deep brown and has a mostly lasting frothy bubbles with spotty lace. The aroma has notes of bakers chocolate, toasty and charred malt, prune and starfruit esters, star anise, floral and herbal hops, a hint of rubber and pipe tobacco. The taste has a Schwarzbier like dry toasty black malt character with a ripened fruity backbone. A bit sugary in midesection and anise spice all over the place. Peaty bite and a hint of sea salt too. The mouth feel is the weak part of the beer, sort of just sits there on the palate offering nothingness. A good beer for what it is but I think I would rather have a New Belgium 1554 first."
Barley Island Sinister Minister Belgian Black Ale,77833,3228,6.7,Traditional Ale,3/5,7/10,3/5,7/10,14/20,1196985600,Cornfield,"This pours a clear chestnut body with a slender beige ring in place of a head.  No lacing.  The aroma is lightly roasted malt, faint floral scents, dark brown sugar, and licorice.  All remain in the flavor, which is a bit thin, the body being somewhat watery, with the addition of a soft dark fruitiness.  The aftertaste is one of licorice, not overbearing and annoying, but subtle.  Not bad.<font size=-4><a href=http://www.ratebeer.com/Places/ShowPlace.asp? Liquors, Porter, IN<font size=-1>"
Barley Island Sinister Minister Belgian Black Ale,77833,3228,6.7,Traditional Ale,4/5,7/10,3/5,7/10,15/20,1196899200,merlin48,"22 oz bottle pours a dark chestnut body with a one inch khaki head. Aroma is subtle, with perfumey florals, anise, and a sweet maltiness. Medium body supports some dark roasty notes, candy sugar, anise, dark fruits, and floral hops. Nicely complex and a good sipper."
Barley Island Sinister Minister Belgian Black Ale,77833,3228,6.7,Traditional Ale,4/5,6/10,4/5,7/10,16/20,1190073600,MI2CA,"Pints from BI at release party - This is going to be BIs entry for the ProAm category at GABF - Aroma is yeasty bubblegum and dark malts with a floral hint.  Pours very dark brown with a medium head and good lacing.  Flavor is roasted dark malts, bubblegum yeast, candi sugar and a touch of hops.  Palate is clean and a little sticky.  Hides alcohol well and is overall an easy drinking tasty brew.  Soon to be released in 22oz bottles."
Barley Island Sinister Minister Belgian Black Ale,77833,3228,6.7,Traditional Ale,3/5,6/10,3/5,7/10,13/20,1189123200,WabashMan,"A nice, malty ale with a definite Belgian quality to it, this one had an almost black appearance, lightly sweet nose, and a fairly light (medium at most) mouthfeel.  Not too heavy, and good with the bar food."
Barley Island Sinister Minister Belgian Black Ale,77833,3228,6.7,Traditional Ale,4/5,9/10,4/5,8/10,16/20,1300924800,paultheguru,"Poured into a snifter. Sinister Minister pours an extremely rich mahogany, with a slightly tan head, with a low retention rate, which leads to decent lacing. Aromas are of sweet malts, raisins, candi sugar, spices like cinnamon, nutmeg and clove. Sweet malty taste, spices, fall fruits, molasses. It kind of reminds me of a less carbonated Trois Pistoles. Crisp, clean and smooth mouthfeel. Not as carbonated which is nice. Very good drinkability. This is the first pro-am I have had, and it is a great one to start with."
Barley Island Sinister Minister Belgian Black Ale,77833,3228,6.7,Traditional Ale,3/5,7/10,3/5,7/10,12/20,1266278400,bu11zeye,"(22oz bottle, 2007 vintage)  Pours a clear amber body with a small off-white head.  Aroma of roasted malt, Belgian yeast, banana, chocolate, and caramel.  Flavor of yeast, roasted malt, caramel, chocolate, and nuts."
Barley Island Sinister Minister Belgian Black Ale,77833,3228,6.7,Traditional Ale,4/5,6/10,3/5,6/10,13/20,1264204800,thirdeye11,"( 22oz bottle vintage of 2007 thanks to bu11zeye) Pours clear dark brown with nice lace and oily bubbles in the head. Nose of bready yeast and not much else. Taste of unsweet chocolate, bread with a tingly/creamy finish. Perhaps slightly oxidized."
Barley Island Sinister Minister Belgian Black Ale,77833,3228,6.7,Traditional Ale,3/5,6/10,3/5,3/10,14/20,1260057600,travita,"Bottle thanks to bu11zeye.  The look is clear, light white head, the color is brown.  The smell is sugary, caramel, and malts.  The taste is malts, roasty, and coffee."
Barley Island Sinister Minister Belgian Black Ale,77833,3228,6.7,Traditional Ale,3/5,7/10,3/5,6/10,13/20,1258848000,mar,2007 bottle thanks to bu11zeye.  chocolate brown with an off white head.  chocolate and a familiar belgian yeast scent.  decent on the palate with a belgian yeast fruity flavor.
Barley Island Sinister Minister Belgian Black Ale,77833,3228,6.7,Traditional Ale,3/5,7/10,3/5,7/10,14/20,1258588800,kramer,"22 oz botle.  Pours a clear chestnut brown body with a small fizzy light brown head.  The nose is nutty and yeasty, with some light coffee and dark fruits.  Lots of Belgian yeast character here in the flavor.  Some dark fruits, heavy yeast, a little coffee on the back end, and finishes off with a bit of peppery alcohol.  Medium bodied with a somewhat watery texture and fizzy carbonation.  I wish that this were a little softer and rounder feeling.  OK beer, but nothing great."
Barley Island Sinister Minister Belgian Black Ale,77833,3228,6.7,Traditional Ale,3/5,6/10,3/5,6/10,13/20,1257638400,Cavie,Bottle courtesy of bu11zeye. Clear reddish pour. Dusty malts in the aroma. Tastes of dry malts and clay flavoring. Earthy tones.
Barley Island Sinister Minister Belgian Black Ale,77833,3228,6.7,Traditional Ale,4/5,7/10,3/5,8/10,13/20,1257465600,blutt59,"bottle, thanks to bu11zeye, dark brown with white foam, fruity wheat aroma, flavors of cherry, wheat, pumpernickel, vanilla"
Barley Island Sinister Minister Belgian Black Ale,77833,3228,6.7,Traditional Ale,3/5,6/10,3/5,4/10,13/20,1257465600,BMan1113VR,"2007 Bottle thanks to bu11zeye. Pours with a deep brown body and a fading tan head. Aroma of brown sugar, light meat, fruity esters and chocolate. Taste is estery wheat, wet dog and vegital. Light bubbles."
Barley Island Sinister Minister Belgian Black Ale,77833,3228,6.7,Traditional Ale,4/5,5/10,2/5,6/10,12/20,1248739200,Maltajo,"22Oz bottle, thanx to DChmelas super sixpack shipper. Bewwwww! 	Great pure darkness cascading with a creamy fluffy head. Great stuff."
Barley Island Sinister Minister Belgian Black Ale,77833,3228,6.7,Traditional Ale,4/5,7/10,3/5,6/10,13/20,1248220800,jason,"Bottle. Thanks to a Secret Santa - I think last summer. Poured a dark body with thin head. aroma is dried fruit, earthy. Flavor has a light chocolate and caramel taste, yeasty and slightly bitter."
Barley Island Sinister Minister Belgian Black Ale,77833,3228,6.7,Traditional Ale,4/5,8/10,4/5,7/10,15/20,1244937600,CaptainCougar,"Bottle sampled at Noog Four-0 5/31/08 courtesy of heemer77: Pours a transparent dark copper with a thin, wispy white head.  Aroma of sweet toasty dark caramel and a touch of milk chocolate and Belgian yeast.  Body starts lightly sweet and toasty dark caramel malty with mild complexity and some drier doughy bready balance in the finish.  A nice dark Belgian brew."
Barley Island Sinister Minister Belgian Black Ale,77833,3228,6.7,Traditional Ale,4/5,7/10,2/5,6/10,10/20,1243555200,bitbucket,"Pours clear dark brown with  a lacy off-white head. Light body and medium carbonation. Light taste of toast and coffee, I think this beer was overwhelmed by what I was drinking before it."
Barley Island Sinister Minister Belgian Black Ale,77833,3228,6.7,Traditional Ale,3/5,6/10,3/5,7/10,15/20,1241913600,dchmela,"Bottle courtesy STFun. Pours black with hints of red and a thin white head. Sweet malt, roasty grain and dark fruit aroma. Smooth crisp malt, sweet dark fruit taste. Hard beer to classify, but tasty nonetheless."
Barley Island Sinister Minister Belgian Black Ale,77833,3228,6.7,Traditional Ale,3/5,7/10,2/5,5/10,10/20,1238025600,scrizzz,"Dark brown, notes of pine.  meh.  Little sweaty, spun and nowhere all at once.  Rhetorical."
Barley Island Sinister Minister Belgian Black Ale,77833,3228,6.7,Traditional Ale,3/5,7/10,3/5,6/10,14/20,1237852800,durhambeer,"Thanks, JCB, for sharing a bottle.  Near black pour with bubbly off white head.  Chalky palate. Roasty malty flavor with not much yeast action.  Similar to dubbel.  Somewhat thin.  Okay."
Barley Island Sinister Minister Belgian Black Ale,77833,3228,6.7,Traditional Ale,3/5,6/10,3/5,6/10,13/20,1237852800,TURDFERGUSON,"Bottle shared by Jason. Thanks dude!  Pretty uninspiring ""Belgian"" here. Roasty, coffee, light cocoa, nuttiness, slightly water,  weak yeast character. Had this towards the end of the night, but it didnt leave a lasting impression."
Barley Island Sinister Minister Belgian Black Ale,77833,3228,6.7,Traditional Ale,3/5,8/10,3/5,6/10,15/20,1237420800,ucusty,"Thanks to JCB for sharing one!  Pours a clear dark reddish brown with minimal head. Nose is light coffee, roasted barley, and chocolate.  This share many similarities to a belgian dubbel"
Barley Island Sinister Minister Belgian Black Ale,77833,3228,6.7,Traditional Ale,3/5,6/10,3/5,6/10,16/20,1237420800,emacgee,"Thanks to JCB for sharing. Pours a dark brown with a light tan head. The nose is rusty, grainy, chocolate, mild coffee, earthy. The flavor is a tad watery, mildly chocolaty, roasty, some yeast character."
Barley Island Sinister Minister Belgian Black Ale,77833,3228,6.7,Traditional Ale,3/5,8/10,3/5,8/10,14/20,1235952000,Dorwart,"About a half inch thick head of rather large fluffy beige bubbles.  Light milk chocolate, roasted malts. a hint of dark fruit and a bit of musty wood.  Color is a very dark brown.  Flavor is a little weaker than expected but what is there is quite good.  Dark roasted grains, more cocoa, pasty malts, some burnt biscuits and an underlying tartness.  Little bit dry on the palate.  Light alcohol presence and warming.  Finishes roasty and malty.  A decent Belgian Ale.  Thanks to **** for this one."
Barley Island Sinister Minister Belgian Black Ale,77833,3228,6.7,Traditional Ale,4/5,6/10,3/5,6/10,13/20,1233360000,FlacoAlto,"2007 Bottle Date; Sampled January 2009	An average pour into my 25cl tulip glass leaves me with three-fingers of lightly browned, light tan colored head.  The beer is quite a dark brown, almost black color that shows a brilliantly clear, rich ruby hue to it when held up to the light.  The aroma has a fruitiness to it up front, but then has a meaty malt character to it that is a bit surprising to me.  Aromas of toasted, roasted, almost smoky, dark malt a deep toasted nuttiness (almost like peanut butter).  After a bit the nutty note in the finish seems like it has gone a little rancid.  The aroma on this is not bad, but it is really interesting, I have never quite smelled a beer like this before.		Lightly sweet, again with a fruit note that reminds me of prunes and raisins.  The beer picks up a hint of tartness in the middle that continues to accentuated the fruit flavors.  This beer feels a little light as it first hits the tongue, but it picks up a viscousness as it rolls across the tongue and actually finishes with a fair amount of heft.  That interesting, slightly rancid nuttiness of the aroma is much subdued in the flavor; there is a touch of it here that is almost more of an oral-nasal sense than anything.  Dark malt notes tend to temper that dark fruit notes a bit and also provide a touch of burnt grain bitterness as well as a touch of burnt acidity and perhaps some tannic astringency.  This could use some spiciness to it; it is somehow Belgian-style and some fermentation spiciness would provide a lot more balance to this beer.  As the beer warms up the fruitiness begins to take on a cola like edge.		Other than the fact that the aroma is really starting to annoy me, this isnt a bad beer; I keep on thinking I should be able to exactly identify this note in the aroma, but I cant quite place my finger on it."
Barley Island Sinister Minister Belgian Black Ale,77833,3228,6.7,Traditional Ale,3/5,7/10,3/5,5/10,12/20,1231632000,alexsdad06,"22 oz. bottle.  Pours brown with garnet highlights and a medium sized beige head.  The aroma has moderate sweetness, yeast, a mix of fruits, and lightly spicy.  The flavor had bready malts, slightly fruity, dusty, yeast, but there seems to be something wrong.  I wasnt sure how old this was, but it appears as if this is in a downward spiral.  Medium bodied.  I should try this again when I know its fresher."
Barley Island Sinister Minister Belgian Black Ale,77833,3228,6.7,Traditional Ale,4/5,6/10,4/5,6/10,14/20,1229040000,after4ever,"22. 2007. Thanks, Yem! Pours black with a wispy little white head. Big brown bread, roast, and toast nose. Nice! Creamy medium body, very light carb. Toast, roast, and brown bread go round again on the mid-palate, with a mild note of weak coffee crossing the palate at the finish. Solid, stable, well-made little beer."
Barley Island Sinister Minister Belgian Black Ale,77833,3228,6.7,Traditional Ale,4/5,7/10,4/5,7/10,14/20,1228608000,JCB,"22oz bottle from StFun. Thanks, Josh. Nice brown pour, with some glinting red in the appearance and a lively carbonation. The nose was rich and very fruity, and this more or less characterizes the taste as well. I was expecting something with more bitterness, and some roasted flavors. This actually comes across far more like a dubbel than anything else, though certainly an enjoyable one. Lively mouthfeel, tasty blend of ripe dark fruits and malts, long finish. Tasty beer."
Barley Island Sinister Minister Belgian Black Ale,77833,3228,6.7,Traditional Ale,3/5,7/10,3/5,6/10,12/20,1223164800,otakuden,"Black ales and black lagers are elusive specimens, so I am very pleased to partake of a Belgian inspired black ale. Into her dark depths do I prepare to surrender my soul.		her sinisterly seductive liquid fills my glass a dark brown with slight light glinting through along the sides of the glass; a faint amber hue. Not too much head, but an almost immediate brussels lace trail sticks to the sides of my glass. Her nose is lightly sweet with yeast and fresh fall apples. A touch of spice adds to the mix. My first quaff is full of bready chewiness and a smooth, slightly oily body. Faint effervescence prevents Sinister Minister from being too thick and overly cloying, though she definitely has a full body and mouthfeel. a bit more of a sweet and sour twang in the palate as opposed to the nose, leaving an almost lingering sour yeast pucker in the finish. A touch of banana notes alongside the crisp fall apples and spice.		Overall, an intriguing brew. The Belgian style element really changes this black ale from something ordinarily extraordinary into something unusually extraordinary. A bit confused I think as I was left not quite sure the overall impression the Barley Island Sinister Minister Belgian Black Ale was going for, but I do know I enjoyed it. Good; could maybe use a wee bit of fine-tuning, but not much. I would drink it again."
Barley Island Sinister Minister Belgian Black Ale,77833,3228,6.7,Traditional Ale,4/5,6/10,2/5,5/10,9/20,1222128000,hopscotch,"UPDATED: SEP 30, 2008 Bottle... Post RBSG 08 O-Town/Vero Beach Throwdown Chapter 8...  Clear, deep, dark mahogany ale with a small, creamy, khaki head. Decent retention. The fruity, estery aroma provides notations of chocolate and banana. Medium-bodied with lively carbonation. Perfectly balanced, but theres just not much going on. Finishes bland and watery. Its not my cup of tea, but thanks to SoLan for providing the bottle of beer!"
Barley Island Sinister Minister Belgian Black Ale,77833,3228,6.7,Traditional Ale,3/5,6/10,3/5,6/10,12/20,1222041600,Sparky,"Bomber courtesy of StFun.  Pours a clear dark reddish brown with minimal head.  Nose is light coffee, mild cocoa, roasted barley and smoke.  Taste is pretty much like the aroma, except theres a dark fruitiness right as you take a sip.  Lighter, prickly mouth feel.  Not bad  thanks Josh!"
